code,year,type,subtype,fatalities,location,source,description
,1782.05,lynching,political,1,South Carolina,Gilje,May: After Judge Aedewus (??) Burke's Court failed to convict a tory and accused horse thief a crowd of men led by General William Butler seized the tory and hanged him.
,1784.03,lynching,political,1,"Montgomery, Ulster Co. NYC",Gilje,"March: A Tory was shot when he attempted to settle in Whig territory. A Whig mob came to him. He ran and was shot.	"
,1784.07,riot,economic,2,"Ft. Dickinson, Wyoming Valley, PA",Gilje,"Pennamite-Yankee War. July: John Franklin and Yankees besiege Pennamites under Alexander Patterson. In various battles, two Yankees killed and Franklin wounded. Cease fire arranged on 31st.	"
,1784.07,riot,economic,2,"Wyoming Valley, PA",Gilje,"Pennamite-Yankee War.  July: Yankees and Pennamites skirmish. Two Yankees killed (""lost"") in the ambush by William Patterson's men (Pennamite with a quasi-legal commission)	"
,1784.09,riot,economic,2,"Ft. Dickinson, Wyoming Valley, PA",Gilje,"Pennamite-Yankee War.  September: In August a supposedly neutral militia force convinced both Pennamites and Yankees to lay down arms, but then arrested the Yankees. By September, most of the Yankees were free and determined to use violence. Yankees again attack Ft. Dickinson. After two hour battle, two Yankees wounded, two Pennamites killed, two Pennamites wounded.	"
,1784.10,riot,economic,1,"Ft. Dickinson, Wyoming Valley, PA",Gilje,"Pennamite-Yankee War. October: John Armstrong led a partisan militia force in an attack on the Connecticut men who defended themselves in a cluster of log houses. Two attackers slightly wounded; one defender mortally wounded. Attackers had to retreat.	"
,1784.12,lynching,political,1,"96 District, SC",Gilje,"December: A returning Tory was arrested and tried before a judge. Acquitted, the ex-Tory was lynched, with all due respect to the laws, after the judge moved on in his circuit. The judge himself was not particularly disturbed by the affair.	"
,1787.01,riot,political,2,"Berkshire Co, MA",Gilje,"Shays' Rebellion. January:  a government party led by lawyer Theodore Sedgewick confronted about 100 local Shaysites on their way to Springfield, fought with them. The result was two Shaysites killed."
,1787.01,riot,political,2,"South Hadley, MA",Gilje,"Shays' Rebellion. January: Shaysites captured four retailers. Two Shaysites lost their lives in the process.	"
,1787.01,riot,political,4,"Springfield, MA",Gilje,"Shays' Rebellion. January: About 1500 Shaysites approach arsenal and battle begins. Artillery made the difference; Shaysites lost four dead and 20 wounded.	"
,1787.02,riot,political,10,"Stockbridge, MA",Wiki,"Shays' Rebellion. February: About 120 farmers from Mass left New Lebanon, NY on the 20th for Western Mass. On the 27th they reached Stockbridge, and harassed local storekeepers. They ransacked 17 houses and took 20 prisoners. They then went to Barrington and captured 19 men there. Outside of Sheffield, however, a party of government troops caught up with them. In the ensuing battle the Shaysites lost 30 men killed or wounded, government three dead, dozens wounded.	"
X,1787.05,executions,political,2,"Stockbridge, MA",Szatmary 1980:115,"Death sentences for 13 rebels. Two hanged: John Bly, Charles Rose."
,1788.04,riot,,3,NYC,HC_1788_05_05.pdf,New York Ant-Dissection Riot.
,1791.10,riot,economic,1,"Noblestown, NY",Gilje,"October: Young says a jacquire (??) occurred. Philip Schuyler attempted to have evicted some yankee squatters. Jonathon Arnold was threatened with an execution by the county sheriff. On the day of the sale ""the Noblestown people assembled and with threats detered the deputy from proceeding with the vendue (??)."" A few days later the county sheriff, Cornelius Hogeboom, and the county judge, Stephen Hogeboom, appeared with a deputy. After waiting all afternoon for another deputy to arrive with the necessary papers and after ""a number of people assembled in a riotous manner"" they began to leave. At that point Arnold fired a pistol; 17 men in Indian dress appeared firing and marching after them. Sheriff Hogeboom thought it was only meant to frighten them. One of the Indians, along with Arnold, rode up to him and shot him dead. The Indians fled and the deputies retreated to Federalist Hudson and organized a posse. Thirteen men including Arnold were eventually arrested and placed in a heavily guarded jail. But with anti-Fed judges no one was convicted. Young says the conflict was Fed vs Anti-Fed.	fn. Albany Gazette, October 31, 1791; Franklin Ellis. The History of Columbia Co., NY, (1878) p.62,236; Albany Register, October 24, 1791"
,1794.07,riot,political,1,"Bower Hill, PA",Gilje,"Whiskey Rebellion. July 16: 50 men armed with rifles and clubs surround home of John Neville, federal excise tax supervisor. Neville shot one man who later died. 5 wounded."
,1794.07,riot,political,3,"Bower Hill, PA",Slaughter 1986:180,"Whiskey Rebellion. July 17: A crowd of 400-800 locals battle with Neville, supported by Major Kirkpatrick and 10 soldiers. Killed: McFarlane and 1-2 other rebels, and 1 soldier later died of his wounds."
,1794.09,riot,political,1,"Myerstown, PA",Slaughter 1986: 205,Whiskey Rebellion. Sept 29: Dragoons rounded up suspected rebels; one young man killed by mistake.
,1794.10,riot,political,1,"Myerstown, PA",Slaughter 1986: 206,"Whiskey Rebellion. Oct 1: An altercation between soldiers an civilians. Charles Boyd, a drunken civilian killed."
,1794.10,riot,political,1,"Myerstown, PA",Slaughter 1986: 218,Whiskey Rebellion. Late Oct: At least one of the suspected rebels captured by the troops died of exposure.
,1797.00,lynching,race,1,Georgia,Gilje,"A mob condemned a slave to the flames - burning the victim.	"
,1797.10,riot,political,1,Upper Marlborough,Gilje,"October: Election riot with brick bats and stones. One man was killed. Over sheriff election.	"
,1799.03,riot,ethnic,1,NYC,Gilje,"March: Effigy paddies cause disturbance on day of celebration for St. Patrick in Harmon Street. One man was killed.	"
,1802.00,riot,?,1,"Charleston, SC",Gilje,"Charles Richardson was killed in a riot in Chalmer's Alley. Patrick Leonard, Thomas Nicholson, and Joseph Frowks (a Portuguese) were charged with the crime and committed to prison.	"
,1803.04,riot,prison,2,"Kingston, NY	",HC_1803_04_13.pdf,"New York State Prison riot. Soldiers, quelling the riot, killed a non-participating inmate. A rioter later died of his wounds."
,1804.09,riot,"ethnic, race",3,"Elktown, MD",Gilje,"September: A number of united Irishmen, canal workers, left off work, went to the race track armed with bludgeons and (??). There they paraded about and became involved in a fight with some blacks. They demolished one free black's stall and chased the rest of the blacks toward town. The blacks bought protection from the whites. Several gentlemen of the races attempted to intercede. The Irish attacked these gentlemen too and a battle ensued between this mounted gentry armed with whips and Irish ruffians. Some of the gentry were injured, but it is implied that the rioters got the worst of it, a few of whom, it was said, died afterwards. On their approach to the races the Irish are reported as declaring they could whip double their number of Americans.	"
,1806.08,riot,political,1,Boston,Gilje,"Thomas O. Selfridge (lawyer Federalist), in the course of a feud with Benjamin Austin (Republican), became involved in insults and an altercation with Austin on August 4, 1806, which ended by Selfridge's killing Austin. Selfridge defended his action successfully and was acquitted on the ground of self-defense. Yet the people of Boston were greatly aroused and was hard pressed ""to elude the fury of democracy,"" for ""thre fiends of anarchy, night after night, have prompted the perpetration of the most wanton outrages against the liberty, security, and the legitimate rights of man!""	"
,1806.12,riot,?,2,NYC,Gilje,"December: A riot occurred Christmas night in Augustus street. Two watchmen were killed and two companies of militia were ordered out to restore order.	"
D,1812.07,riot,political,2,Baltimore,HC_1812_08_04.pdf,"Baltimore Riot: 1 dead, another ""desparied of"", a third seriously injured."
,1812.07,riot,political,2,Baltimore,Gilje 1996: 62-3,"Baltimore Riot started with the destruction of the Federal-Republican (newspaper) building. During the fughting between a Republican mob the Federalists shot and killed a shopkeeper. The Republicans rolled up a cannon, but did not use it. The Federalists surrendered and were led to the jail. That night a mob attacked the jail and beat several Federalists to a pulp. Gen. James M. lingan was beaten to death."
,1813.00,riot,economic,1,"Columbia Co, NY",Gilje 1996:76,"Mobs opposed collection of rents. In one confrontation, a sheriff was killed"
,1819.10,riot,race,1,"Pittsfield, MA",HC_1819_10_19.pdf,"An altercation between US Army soldiers and some Negroes, which started in a brothel, led to a death of one Negro"
,1825.00,riot,economic,1,"Ulster, Delaware and Sullivan Co, NY",Gilje,"Anti-rent. Some land rioting in Ulster, Delaware and Sullivan counties partially between rival landowning families and partially between landlord and tennants. During these problems Capt. Geradus Hardenberg shot and killed. He was a landowner. 	"
,1825.08,riot,political,1,"Halifax, NC",Gilje,"August: An affray occurred at the Courthouse during an election, Hamlin Turner, a young man from the country, was shot and died of his wounds. Henry Potter, of Halifax, was injured but recovered.	"
,1825.11,riot,extralegal,1,"Portland, ME",HC_1825_11_22.pdf,Portland Brothel Riots
,1827.06,lynching,race,1,"Perry Co, AL",Gilje,"June: A mob of 70 or 80 persons burnt a black alive because he had stabbed a white man. The black had been accused of stealing a small piece of property and was stabbed when hassling the black about it. The black was taken to a Justice, who waived jurisdiction in the case and then led the mob himself as its President. This was the 2nd time in the county that a black had been so burnt.	"
,1828.00,riot,labor,1,Susquehannah River Canal,Gilje,"Irish laborers riot near Wilkes-Barre. No cause given, evidently attack on contractors, one man killed by rioters.	"
,1828.08,riot,"ethnic, labor",1,Northern Liberties,Gilje,"August: Irish weavers riot, leaving one watchman dead. The rioters seized a building and hoisted a flag of the weaver's trade.	"
,1828.08,riot,ethnic,1,Philadelphia,Gilje,"August: Kensing weavers riot. Stephen Heimer, a watchman, was killed. Heimer was off duty. He entered an Irish tavern, made noise as he had in the street, 3rd street above Poplar Lowe, and called the owners ""bloody Irish transports."" Hence he was attacked. He had been asked to be quiet because there was a dying woman in the house.	"
